Time (s),Voltage (V),Current (A)
396.69474029799994,5.0467,0.675796
397.3696088239999,5.0467,0.656934
397.994504712,5.0466,0.746643
398.67756331300006,5.0466,0.670197
399.30550699399987,5.0467,0.751233
399.964865119,5.0469,0.658442
400.60999876999995,5.0469,0.675907
401.25481360799995,5.0465,0.683059
401.9020648159999,5.0464,0.673477
402.5385435779999,5.0466,0.762682
403.20497085600005,5.0466,"0.67503
"
403.829651046,5.0468,0.754049
404.48827908499993,5.0467,0.655375
405.134513902,5.0467,0.658667
405.7792108599999,5.0465,0.697165
406.4438227119999,5.0464,0.670471
407.07155345,5.0464,0.663064
407.72937916599994,5.0467,0.674357
408.37450196300006,5.0467,"0.67584
"
409.02652287399997,5.0465,"0.68089
"
409.673116491,5.0465,0.670165
410.318293712,5.0465,0.766791
410.982586844,5.0467,0.660707
411.6091386840001,5.0467,0.655626
412.281836117,5.0467,0.656164
412.909164381,5.0465,0.674147
413.56994454200003,5.0462,"0.76089
"
414.217761204,5.0464,0.674119
414.8596650899999,5.0466,0.675979
415.523905969,5.0467,0.675849
416.14977819499995,5.0466,0.658485
416.80902241700005,5.0465,0.753922
417.45372377399985,5.0465,0.670716
418.0945687149999,5.0467,0.666136
418.73929105799994,5.0467,0.658507
419.38190714100006,5.0468,0.655964
420.02884553399986,5.0468,0.761232
420.6793381939999,5.0465,0.674827
421.32359713200003,5.0465,0.749673
421.9647087389999,5.0466,0.675108
422.63776709299987,5.0465,0.675893
423.264454117,5.0465,0.735583
423.92916603000003,5.0464,0.662272
424.55389023399994,5.0464,0.779985
425.2192862269999,5.0467,0.669398
425.86411563799993,5.0467,0.704003
426.5086398839999,5.0466,0.732199
427.173787167,5.0466,0.675259
427.801568221,5.0464,0.763691
428.46474476699996,5.0463,0.670546
429.1089534769999,5.0464,0.674526
429.7563838389999,5.0466,0.657841
430.433098945,5.0468,0.655351
431.058213562,5.0466,0.743928
431.7194230119999,5.0464,0.675325
432.36353108599997,5.0462,0.766941
433.01694458099996,5.0465,0.675634
433.662187529,5.0467,0.676667
434.30870004200005,5.0467,0.724689
434.97976721500004,5.0465,0.660772
435.60348719800004,5.0466,0.759906
436.27326297700006,5.0465,0.673606
436.8982409089999,5.0467,0.664726
437.56859045099986,5.0466,0.657846
438.1958147999999,5.0466,0.675626
438.8540634189999,5.0467,0.762315
439.49851846599995,5.0464,"0.6757
"
440.13732261999985,5.0465,0.674643
440.7839939769999,5.0466,0.677252
441.42965993999996,5.0465,0.676101
442.09737007299987,5.0467,"0.76643
"
442.721702349,5.0465,0.663399
443.38326547999986,5.0464,0.672988
444.02809057900004,5.0463,0.668595
444.6738864859999,5.0466,0.661059
445.320955553,5.0467,0.766625
445.958698466,5.0467,0.677965
446.60301995099985,5.0466,0.685826
447.25327780299995,5.0465,0.673278
447.8977348619999,5.0465,"0.67783
"
448.54428333300007,5.0466,0.675135
449.1880334949999,5.0468,0.655234
449.8281974060001,5.0465,0.742737
450.49982549599986,5.0464,0.666019
451.1222269709999,5.0462,0.678004
451.7829554749999,5.0464,0.666087
452.42800129199986,5.0466,0.676118
453.0728125159999,5.0466,0.765466
453.745401251,5.0464,0.675702
454.3732178739999,5.0463,0.669586
455.044992781,5.0463,0.673523
455.678441904,5.0467,0.662663
456.33732742999996,5.0471,0.734251
456.9836850449999,5.0466,0.656038
457.62738888399986,5.0464,0.788356
458.29430406200004,5.0466,0.674685
459.04340491699986,5.0466,0.674299
459.71726742500005,5.0466,0.765533
460.3429974129999,5.0468,0.656553
461.02367204000006,5.0466,0.677217
461.648598773,5.0467,0.676147
462.31873393,5.0463,"0.67207
"
462.94158096499996,5.0465,0.778055
463.60250882499986,5.0468,0.677773
464.251725934,5.0468,0.776121
464.89635436799995,5.0466,0.660522
465.567442044,5.0466,0.669028
466.19494128999986,5.0466,0.757656
466.8681767329999,5.0466,0.664439
467.4930447029999,5.0465,0.748495
468.161699493,5.0466,0.675534
468.78749363199995,5.0466,"0.67729
"
469.46299720799993,5.0466,0.749493
470.0894595929999,5.0467,0.672687
470.74770402800004,5.0465,"0.76476
"
471.39255646599986,5.0465,0.656514
472.0377839129999,5.0464,0.657672
472.6814952739999,5.0463,0.663301
473.3263058319999,5.0463,0.673722
473.9965266439999,5.0466,0.751081
474.6232187139999,5.0466,0.676409
475.2987384759999,5.0465,0.779016
475.9222186289999,5.0467,0.674557
476.6015489659999,5.0466,0.667529
477.22740043399995,5.0465,0.743439
477.89228962800007,5.0466,0.666457
478.5180471849999,5.0467,0.741238
479.18208937200006,5.0466,"0.6571
"
479.80588213099986,5.0466,0.677704
480.48012215899985,5.0463,0.682249
481.10660014799987,5.0466,0.672075
481.78495596699986,5.0466,0.759748
482.41289357899996,5.0465,0.677152
483.08774846200004,5.0466,"0.65591
"
483.71101823000004,5.0467,0.663294
484.3781146609999,5.0463,0.669879
485.00210611400007,5.0464,0.773164
485.682161557,5.0468,0.663148
486.307725292,5.0467,0.677984
486.97460191999994,5.0467,"0.6775
"
487.620552222,5.0465,0.675628
488.27232690799997,5.0465,"0.75797
"
488.91585239799997,5.0466,0.673307
489.562781891,5.0465,"0.71531
"
490.20637248599996,5.0466,0.655702
490.85204095099994,5.0467,"0.65879
"
491.49646083799985,5.0465,0.765641
492.1404689409999,5.0465,0.672398
492.8073850379999,5.0464,0.746254
493.43206102599993,5.0466,0.676633
494.0925320419999,5.0467,0.677599
494.7374356339999,5.0466,0.676818
495.38197129800005,5.0462,0.666401
496.026897858,5.0461,0.771343
496.667425333,5.0464,0.665623
497.343246935,5.0465,0.659404
497.96720430100004,5.0465,0.656801
498.62691450500006,5.0467,0.676223
499.2725131089999,5.0466,0.763607
499.9169325109999,5.0466,0.672441
500.56401802999994,5.0468,0.674893
501.214151291,5.0467,0.675552
501.8905378479999,5.0466,0.655835
502.51766816099985,5.0464,"0.75145
"
503.17621238699985,5.0465,0.671175
503.8218547849999,5.0467,0.670423
504.46722123799987,5.0468,0.662838
505.11066367700005,5.0467,"0.67761
"
505.75413179199995,5.0465,0.702804
506.42806025000004,5.0465,0.677368
507.05015541299986,5.0465,"0.67305
"
507.72269185000005,5.0463,0.675717
508.345530885,5.0465,0.674607
509.01728495399993,5.0467,0.657147
509.641862058,5.0468,0.660226
510.31703450300006,5.0465,0.687572
510.94149295500006,5.0463,0.674557
511.6186333169999,5.0465,0.778789
512.250210772,5.0466,0.675544
512.911810118,5.0463,0.677499
513.5567200319999,5.0465,0.766012
514.197174245,5.0466,0.670307
514.8656698249999,5.0461,0.764527
515.4903571309999,5.0462,0.665078
516.1497379709999,5.0466,0.658773
516.799698387,5.0464,0.765908
517.4421117649999,5.0463,0.677258
518.120421629,5.0463,0.774755
518.7471598719999,5.0464,0.676214
519.4165588559999,5.0465,0.677027
520.04142293,5.0468,0.744605
520.70105403,5.0469,"0.65924
"
521.345707101,5.0464,0.768026
521.991170453,5.0464,"0.67417
"
522.63494558,5.0463,0.669639
523.292857356,5.0465,0.661161
523.9366215949999,5.0467,"0.67528
"
524.5798837350001,5.0467,0.771044
525.226049394,5.0465,0.677285
525.8746858509999,5.0465,0.672283
526.5204656639999,5.0465,0.676089
527.166139535,5.0464,0.659563
527.8106392049999,5.0465,0.734065
528.459870102,5.0465,0.660547
529.106791505,5.0463,0.676854
529.7464697329999,5.0466,0.671147
530.3908002799999,5.0466,0.666259
531.03045361,5.0464,0.736979
531.6752034890001,5.0465,0.677733
532.315365789,5.0465,0.760014
532.9606439629999,5.0464,0.670573
533.6016176379999,5.0464,0.674569
534.2462788129999,5.0466,0.677107
534.88607563,5.0466,0.658315
535.5309807680001,5.0466,0.741861
536.175472717,5.0463,"0.66361
"
536.81993633,5.0465,0.673756
537.4684342749999,5.0465,0.671964
538.140636849,5.0466,0.676883
538.765478236,5.0467,0.706861
539.440567765,5.0465,0.677311
540.0664217839999,5.0464,"0.75907
"
540.733627284,5.0464,0.673672
541.3596593269999,5.0466,0.765981
542.0264168449999,5.0467,0.662114
542.6512120790001,5.0469,0.657499
543.3105450099999,5.0466,0.765305
543.955262682,5.0462,0.677225
544.60093689,5.0462,0.674797
545.245791439,5.0464,0.676041
